lesson_question_map_id ,lesson_id                            ,question_id                          ,order
                    72 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,a4cc4b7b-e6d5-4e94-af51-058866ac900d ,    9
                    73 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,914f3efc-530e-495f-abf9-9608eeca06e9 ,   10
                    74 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,fca32f5f-066c-4d53-8bbd-9fadaf32426d ,   11
                    75 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,3a884988-5e2b-4235-a4d1-b73f234e07ff ,   12
                    76 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,4c5ebb77-93b5-4f6b-bd6e-91eee012f828 ,   13
                    77 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,c479c80a-f42b-48fe-b66b-8fe4c8a40c33 ,   14
                    78 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,c31a671b-b8b7-4b4f-bc28-67d8a7f988e8 ,   15
                    79 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,b95a324b-8fef-4e0e-81df-21f9ad4156a7 ,   16
                    80 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,8e80d309-52a6-42ad-9a58-2e7d39b9bfe2 ,   17
                    81 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,55dfd180-2374-4c17-b0d2-bc0d7a1abea4 ,   18
                    82 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,83485b07-2714-4e70-945e-a13c4f3d2a38 ,   19
                    83 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,930a8904-f5ac-4307-9650-f60327bba7d0 ,   20
                    84 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,1661eae1-fc8b-4938-8a8b-65dcea5302e3 ,   21
                    85 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,7aa502a3-6cda-4447-a716-d223f622be92 ,   22
                    86 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,ceb4ca88-c2ea-4497-9fdb-a07bf40c13c9 ,   23
                    87 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,151bf057-81f5-47b3-b538-a14e24d3b113 ,   24
                    89 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,e1927b07-b34c-44cb-9c68-da1127d30a8e ,   26
                    91 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,8f34a829-7cbf-4c61-a2df-d6b48a1c78af ,   28
                    92 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,2d18e4f4-79fe-4509-b630-cfc896df44bc ,   29
                    93 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,1b2a1b63-7bae-45ff-ab9d-4b76cd49a1a9 ,   30
                    94 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,18b9e3cd-2782-49d7-8a3d-f7fb9f2554b1 ,   31
                    95 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,c44d5ccd-7064-4f27-94d4-59e4edbd1e87 ,   32
                    96 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,08204fb8-bad0-468e-91cf-49226a896518 ,   33
                    97 ,0f6faf83-706d-4f6c-9889-9dafd94d848d ,5feae8d4-132b-49fc-8161-0e0172086da0 ,   34
                    98 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,f28aa099-e2b2-415c-8220-ae764bce8c43 ,    1
                    99 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,dbc0c04e-fb92-4a82-bf69-72740a2974e3 ,    2
                   100 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,5e4f26e7-d03e-4830-9e5a-c5ab34eea211 ,    3
                   101 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,276d9cf5-59db-4168-87a7-50bf961b9b3a ,    4
                   102 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,d3e60ff7-46cb-49f0-81b9-84f7c0187e32 ,    5
                   103 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,f8d41eef-65b0-40ef-b98a-f21dadfc6342 ,    6
                   104 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,a23a8a22-3e07-4163-8c42-1642c6611587 ,    7
                   105 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,26a7b901-784a-4ab6-9641-aa9141233677 ,    8
                   106 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,d4623afe-ea07-4bd6-9a90-86b0eb223d12 ,    9
                   107 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,afa48310-b446-43bd-a532-d31fe8afe247 ,   10
                   108 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,97758678-4d5f-441d-85b1-f2a67e0bcda9 ,   11
                   109 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,1ab43ea3-c2a3-4285-b612-8d8913603c92 ,   12
                   110 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,d0483584-820a-47c4-89f0-19a1fd388fb1 ,   13
                   111 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,8571887d-ee8f-468e-8b91-c15f0ee6ea4a ,   14
                   112 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,f0dde168-660b-47af-8917-733e2003fed7 ,   15
                   113 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,4535deac-4531-47d4-a52b-bfe74be7fcb7 ,   16
                   114 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,39a1ed4d-ec00-48bd-868d-d9e1d891305b ,   17
                   115 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,9688fcf2-04ba-4d43-bffa-883aec46b582 ,   18
                   116 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,74ee25bb-1622-4a49-8bb2-9c746eef3dbc ,   19
                   117 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,32ea3fda-7757-4b29-94d7-80642ac02b2f ,   20
                   118 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,583ccc02-ba3f-4e68-a059-2eec75f29af2 ,   21
                   119 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,833028c0-3564-4224-98d9-c306163bfc8b ,   22
                   120 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,8bf712a2-33e1-4a5b-ab84-a87e206e96e0 ,   23
                   121 ,7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,4d494fb0-54b6-4883-b49a-43399cbec441 ,   24
