lesson_id                            ,lesson_name     ,lesson_order
3121fdbf-f966-445e-94d9-8ef8520abd9e ,Introduction    ,           1
6da1d88a-6da8-4569-a675-54d31921acb9 ,Dance!          ,           2
0f6faf83-706d-4f6c-9889-9dafd94d848d ,Follow the hand ,           3
7ace0128-5b38-4c37-8b25-f846ef3e9de0 ,The Force       ,           4
